"Data Source","World Development Indicators",

"Last Updated Date","2022-04-27",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Chile","CHL","Intentional homicides, female (per 100,000 female)","VC.IHR.PSRC.FE.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.0097522603","1.0954797256","1.3220910335","1.2137765763","1.1584649519","1.1078376049","1.3139056577","0.41867095959","1.2101541344","0.69851410527","0.83878690124","0.96106119917","1.1308858474","0.98939557403","","","",
"Chile","CHL","Merchandise exports to low- and middle-income economies in South Asia (% of total merchandise exports)","TX.VAL.MRCH.R5.ZS","0.0816826628548091","0.137632717263075","0.112803158488438","0.129246676514032","0.064","0.0581564408258215","0.20442930153322","0.0131371518654756","","","0.00642090647147111","","0.00233797811652483","0.00568892934349755","0.0125070604373437","0.0246873438224438","","","","","","","","","","","","0.0459409276238969","0.219679379336235","0.464211022594021","0.772093988038305","0.0870696116034034","0.136222939470557","0.328766860292099","0.66753631577049","0.655202635316873","0.732820132627316","0.551021180922737","0.456415511437754","0.703156203347848","0.738500000259123","0.70214432116258","1.07519236974367","1.05730414770471","1.50481003375795","1.62251453114006","2.84095758919689","3.43654185184253","2.12879229999424","2.25633153500056","2.49535046400078","2.41450480968495","3.29485468382074","2.945109678634","3.46619151851724","3.08081854078245","2.3487273328465","3.07183873555588","1.822697137507","1.80307000823087","1.14076813434623","",
"Chile","CHL","Export unit value index (2000 = 100)","TX.UVI.MRCH.XD.WD","","","","","","","","","","","","","","","","","","","","","146","126","106","104","99","91","98","104","111","124","116","113","108","97","110","141","115","113","94","91","100","87.92951432","87.14433947","98.13543175","128.2632678","159.2546392","217.1654197","235.2626519","226.2138872","200.7939325","256.5787211","281.7026621","264.4974446","250.5596241","241.0765616","201.8217551","196.8565622","227.4138291","232.7232647","219.5893763","227.8648464","",
"Chile","CHL","Merchandise imports from low- and middle-income economies in Europe & Central Asia (% of total merchandise imports)","TM.VAL.MRCH.R2.ZS","","","","","","","0.0250458074636506","","","","","","0.0223136017340856","0.205903790087464","0.228621054063386","0.0169438506855743","","","","","","","","","","","","","","","","","0.0376217077354361","0.0463721285819073","0.406352756746846","0.365659058460227","0.299914419911941","0.264566777222006","0.482343267373667","0.441737809244488","0.644410478252495","0.44700545604652","0.672991018949546","0.452066707718848","0.490520960500825","0.436809009627986","0.377715581981774","1.97883938740385","1.6590114569287","0.304413383552029","0.275656849385321","0.344035630467549","0.394407957027322","0.432605760948694","0.442231827201262","0.515035974776766","0.672045834440483","0.63689954841809","0.716871336408535","0.755231049629698","0.67839559421756","",
"Chile","CHL","Share of tariff lines with specific rates, primary products (%)","TM.TAX.TCOM.SR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0441924","0.0407775","0.2230031","0","0.1717885","0","0","","0","0","0","0","0","0","",
"Chile","CHL","Share of tariff lines with specific rates, manufactured products (%)","TM.TAX.MANF.SR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0.0104567","0","0","0","0","0.0094323","0.0117843","0.0533318","0.0066364","0","0","0","","0","0","0","0","0","0","",
"Chile","CHL","International tourism, number of departures","ST.INT.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1528000","1340000","1444000","1509000","1727000","2031000","2264000","2451000","2317000","2359000","2737000","3220000","3448000","3674000","3842000","4103000","4269000","4367000","4605000","4091000","","",
"Chile","CHL","Population, male","SP.POP.TOTL.MA.IN","4068207","4149580","4232072","4314684","4396086","4475371","4552103","4626596","4699743","4772793","4846721","4921761","4997693","5074381","5151568","5229040","5307088","5385878","5464927","5543604","5621595","5698586","5775152","5852920","5934131","6020341","6111872","6208178","6308835","6413021","6519942","6629577","6741482","6853833","6964337","7071271","7174019","7272782","7367716","7459342","7548165","7634046","7717131","7798637","7880156","7962875","8047644","8134410","8222344","8310124","8397001","8481053","8562870","8647028","8739824","8844800","8965258","9097252","9228416","9341774","9425669","",
"Chile","CHL","Population ages 70-74, female (% of female population)","SP.POP.7074.FE.5Y","1.15435493326701","1.17603191354149","1.19547976440949","1.21398914040758","1.23284789603795","1.25277012544315","1.26240424105226","1.2742090216722","1.2881025130905","1.3030161085673","1.31848773593295","1.32560439199316","1.33288758166402","1.34324810467064","1.35987880016713","1.38400639908116","1.40588955019902","1.43262501266503","1.46350492280021","1.4971618411517","1.53276569982692","1.55971835496073","1.59029761137872","1.62278170150957","1.65375815062681","1.68158941858427","1.69540039795003","1.70698454125334","1.72180941773335","1.74645791730849","1.78405326681151","1.81718396930354","1.85792142997987","1.90999958962649","1.97954487421496","2.06884295746699","2.16263960628855","2.27554736875029","2.39091355870287","2.48615589438459","2.55000362449698","2.57634229401276","2.57764191100553","2.56552840810571","2.55577999551557","2.55713068797706","2.55163712222051","2.55476821659806","2.56688998977246","2.58895110342045","2.62212467096646","2.65165584674879","2.69531311439256","2.7500080396814","2.81258367616886","2.88222243361759","2.93478427843745","2.994756423725","3.06765255374576","3.16188082717004","3.28093171278381","",
"Chile","CHL","Population ages 45-49, female (% of female population)","SP.POP.4549.FE.5Y","4.15909245787165","4.14421562246042","4.11816935594252","4.09239002829066","4.08254475098","4.09668435589101","4.11974582377419","4.15919769416038","4.21932151672808","4.3057089412059","4.41869430292806","4.55684227402954","4.72199079432712","4.88553670788447","5.00722442718583","5.06476459324256","5.06381165652682","5.00664722256989","4.91522584926171","4.82205981048358","4.74668212092439","4.68182357446348","4.63230451499366","4.5979585584559","4.57618368211229","4.56582816743647","4.57328360563003","4.59630141952921","4.63232448018215","4.67735933576667","4.72909503418003","4.78254296225369","4.84103946843488","4.91362342744801","5.01443416691093","5.15034147592075","5.31523678640204","5.51440783821536","5.72694946925238","5.92235254318872","6.08273988877606","6.21568000064958","6.31166312426245","6.38395520960595","6.4534833977806","6.53126010512616","6.60663357515346","6.68624314254607","6.76186681665646","6.82042802872181","6.85465286024052","6.85947870393147","6.8471598663376","6.82087690681914","6.78664108404954","6.74916127425817","6.69774402643757","6.64631214391098","6.59790016577639","6.55779275921851","6.53041007002706","",
